algoritmo,iteracao,tempo_ms,consumo_mah
RSA-2048,1,185.33,0.019
RSA-2048,2,189.10,0.020
RSA-2048,3,182.50,0.018
RSA-3072,1,612.40,0.058
X25519-Ed25519,1,14.20,0.0021
X25519-Ed25519,2,14.80,0.0022
Kyber-768,1,16.70,0.0026
Dilithium-3,1,32.10,0.0038
