algoritmo,iteracao,tempo_ms,consumo_mah
RSA-2048,1,68.45,0.008
RSA-2048,2,70.12,0.009
RSA-3072,1,298.77,0.032
X25519-Ed25519,1,6.80,0.0009
Kyber-768,1,8.90,0.0011
Dilithium-3,1,18.40,0.0023
